District Name;District ID;PO Group;Purchase Order Number;PO Start Date;PO Expiry Date;License Type;Total License Count;Redeemed Count;Product Titles;Number of Users Assigned
Salinas Union High School District;61951;Active PO;SalinasUHSD_adoption2024-32_Reporteros1-3;2024-07-29;2032-07-30;User;4300;9;"Reporteros 1; Reporteros 2 ; Reporteros 3";500
Salinas Union High School District;61951;Active PO;PO25-02359_SalinasHS_Reporteros1;2024-11-25;2025-12-29;User;45;2;Reporteros 1;3
Salinas Union High School District;61951;Active PO;PO25-02359_SalinasHS_Reporteros2;2024-11-25;2025-12-29;User;45;2;Reporteros 2;3
Salinas Union High School District;61951;Expired PO;SalinasPilot_Reporteros1_2_3;2023-10-02;2024-07-12;User;20000;7;"Reporteros 1; Reporteros 2 ; Reporteros 3";377
Napa Valley Unified School District;61428;Active PO;PO25-00653_Reporteros1-3;2024-09-09;2025-10-13;User;675;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";166
Napa Valley Unified School District;61428;Expired PO;SO-5990_Reporteros1_2_3;2023-09-08;2024-10-11;User;230;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";97
Mariposa Co Unified Sch Dist;61430;Active PO;KSO4355000002107093;2023-09-23;2026-09-22;User;150;1;"Reporters francophones 1; Reporters francophones 2";6
Mariposa Co Unified Sch Dist;61430;Expired PO;PO240269_Reportersfrancophones1-2;2023-09-08;2024-10-11;User;310;2;"Reporters francophones 1; Reporters francophones 2";29
Montabella Community School District;61008;Expired PO;230i510-1150-AK_Montabella_Reporteros1-2;2023-08-24;2024-09-26;User;407;2;"Reporteros 1; Reporteros 2";134
Sioux City Community School District;68936;Active PO;Pilot2024-2024_SO-28461_SiouxCityCSD_IA_Reporteros;2024-07-29;2025-12-07;User;1078;4;"En busca de la verdad; Me despierto y bailo; Mi año de intercambio; Reporteros 1; Reporteros 2 ; Todo para todos; Un gol fantástico";500
Sioux City Community School District;68936;Active PO;Pilot2024-2025_SiouxCityCSD_Reporterso3-4;2025-03-11;2025-12-07;User;130;2;"Reporteros 3; Reporteros 4";32
Durham Academy;60706;Active PO;CT_DurhamAcademy_readers_072524;2024-07-29;2025-09-01;User;20;2;"Me despierto y bailo; Todo para todos; Un gol fantástico";10
Durham Academy;60706;Active PO;POZQ002865_Reporteros1-2;2024-09-04;2025-10-08;User;200;2;"Reporteros 1; Reporteros 2";112
Durham Academy;60706;Expired PO;5380245000011616060_Reporteros1_2_3;2023-08-18;2024-09-20;User;290;2;"Reporteros 1; Reporteros 2";117
Durham Academy;60706;Expired PO;5380245000011616060_Reportersfrancophones1_2;2023-08-18;2024-09-20;User;60;2;"Reporters francophones 1; Reporters francophones 2";7
Aurora Public School District;68452;Active PO;AuroraPublicSchoolDistrict_Pilot_RF1-3;2024-07-16;2025-06-07;User;600;3;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";152
Aurora Public School District;68452;Active PO;PO A248562_Reportersfrancophones1_adoption;2025-02-10;2028-07-01;User;610;4;Reporters francophones 1;8
Aurora Public School District;68452;Active PO;PO A248562_Reportersfrancophones2_adoption;2025-02-10;2028-07-01;User;165;4;Reporters francophones 2;8
Aurora Public School District;68452;Active PO;POA248562_Reportersfrancophones3_adoption;2025-02-10;2028-07-01;User;85;4;Reporters francophones 3;8
East Providence City School District;66023;Active PO;PO_241975_Reporteros;2024-08-15;2025-09-18;User;4412;4;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";500
