districtId,districtName,schoolId,schoolName,studentcount,teachercount,purchaseOrderNumber,startDate,expiryDate,totalLicenseCount,licenseConsumeCount,productTitles
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Tulane University (LA)_DEMO,2024-09-26,2025-10-17,3,2,"Aula en acción 1, Aula en acción 2, Défi francophone 1, Défi francophone 2, Proyectos 1, Proyectos 2"
__NO_DISTRICT__,No Parent District,78293,Tulane University (LA),,,Tulane_University_2025_2026_prof,2025-05-27,2026-06-30,1000,11,Défi francophone 1
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Tulsa Public Schools (OK) DEMO,2025-06-24,2026-07-28,5,2,"Défi francophone 2, Generación AP®, Portfolio Deutsch Neu, Level 3/4 - Teacher's Manual, Portfolio Deutsch Neu, Level 3/4 - Textbook, Portfolio Deutsch Neu, Level 3/4 - Workbook, Reporteros 4, Reporters francophones 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Tuxedo Park School (NY)_DEMO,2024-11-06,2025-10-01,3,2,"Alba y Gael 1, Cap sur 1, Cap sur 2, Cap sur 3, Reporteros 1, Reporteros 2 , Reporters francophones 1, Reporters francophones 1A, Reporters francophones 1B, Reporters francophones 2, Reporters francophones 3"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,TWINSBURG_CITY_SCHOOL_DISTRICT_DEMO,2024-05-20,2025-10-18,4,2,"24 horas en Barcelona, 24 horas en Bogotá, 24 horas en Buenos Aires, 24 horas en Ciudad de México, En busca de la verdad, Me despierto y bailo, Mi año de intercambio, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,73528,UC Berkeley,,,UC_Berkeley_2025_2026_prof,2025-05-19,2026-07-31,1000,4,"Proyectos 1, Proyectos 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,UIC (IL)_DEMO,2024-12-05,2026-01-08,3,2,"Davvero 1, Davvero 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Uniondale High School (NY) DEMO,2025-06-24,2025-10-01,3,2,Generación AP®
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,UNITEDNATIONSINTERNATIONALSCHOOL_DEMO,2024-05-30,2025-08-04,3,2,"Davvero 1, Davvero 2, Mapas 1, Mapas 2, Mapas 3, Mapas 4, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Alaska Fairbanks (AK),2025-06-05,2025-09-12,3,2,"Das Reporterteam 1, Das Reporterteam 1 - Sample Unit, Das Reporterteam 2, ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 MACHEN (In-Class) - Instructor's Edition, ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of California Riverside (DEMO),2024-05-29,2025-09-01,10,2,"Aula en acción 1, Aula en acción 2, Proyectos 1, Proyectos 2, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Central Oklahoma (OK) _DEMO,2025-02-03,2025-08-21,3,2,"Aula en acción 1, Aula en acción 2, Défi francophone 1, Défi francophone 2, ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 ZEIGEN (after-class), Proyectos"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Colorado - Boulder (CO)_DEMO,2025-04-18,2025-11-03,3,2,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 MACHEN (In-Class) - Instructor's Edition, ID1 ZEIGEN (after-class), ID2 LERNEN (before-class), ID2 MACHEN (in-class), ID2 MACHEN (In-Class) - Instructor's Edition, ID2 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Connecticut UCONN (CT) demo,2025-07-10,2026-01-25,3,2,"Generación AP®, Mapas 3, Mapas 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,University of Denver (CO)_DEMO,2024-12-02,2026-01-05,3,2,"Défi francophone 1, Défi francophone 2"
