school_name,school_id
North Salinas High School,61956
Everett Alvarez High School,61954
Alisal High School,61952
Emma K Doub Elementary,72326
20631-Hope Christian School,67197
20631-St. Matthew Lutheran School,67198
20631-Plymouth Christian Academy,67199
20631-Powers Catholic High School,67200
20631-St. John Evangelist Catholic School,67201
20631-St. Robert Bellarmine School,67202
20631-St. John Vianney Catholic School,67203
20631-Holy Rosary Catholic School,67204
20631-Holy Family Catholic School,67205
20631-St. Thomas More Academy,67206
20631-Faith Baptist School,67207
20631-Most Holy Trinity Catholic School,67208
20631-St. Mary Cathedral Gaylord,67209
20631-OMS Seated Pre-enrollment,67210
20631-OVA Pre-enrollment,67211
20631-Clear Lake Elementary,67212
20631-Oxford Bridges High School,67213
20631-Daniel Axford Elementary,67214
20631-Oxford High School,67215
20631-Oxford Middle School,67216
20631-Genesee Christian School,67217
20631-Lutheran High School-Westland,67218
20631-Oakland Christian School,67219
20631-Oxford Virtual Academy,67220
20631-Online Learning,67221
20631-Oxford Middle School,67361
20631-Oxford Middle School,67658
20631-Oxford Middle School,67943
20631-Oxford Middle School,70980
20631-Oxford Middle School,71446
20631-Oxford Middle School,71722
20631-St. Mary Lake Leelanau School,71792
20631-Oxford Middle School,71877
20631-Oxford Middle School,71878
20631-Oxford Middle School,72063
20631-Oxford Middle School,72177
20631-Oxford Middle School,72178
McKee Middle School,72247
Greenfield Middle School,72246
Pioneer Academy NJ,72194
Magic School Noida 2,72139
Mount Vernon School District 320 - Canvas,72049
Northern Middle School,60888
Chesapeake Virtual Academy Middle,72010
Francis W. Parker School,72007
Gradepassback Demo School,71964
Grassfield High,61404
Hickory Middle,61403
Hickory High,61402
Hugo A. Owens Middle,61401
Great Bridge Middle,61400
Indian River High,61399
Western Branch High,61398
Oscar Smith High,61397
Great Bridge High,61396
Deep Creek High,61395
Williamsport High School,60893
Boonsboro Middle School,60881
Clear Spring Middle School,60884
Clear Spring High School,60885
North Hagerstown High School,60880
Hancock Middle-Senior High School,60886
Smithsburg High School,60889
Smithsburg Middle School,60890
South Hagerstown High School,60891
Western Heights Middle School,60973
Clear Spring Elementary,71212
West High School,68939
North High School,68937
North Creek High School,71790
Woodinville High School,70994
Inglemoor High School,71789
ExtendED,71213
Whitman College,71564
20311-Sacramento Accelerated Academy,61481
20311-The Met High School,61482
20311-West Campus HS,61483
20311-Rosemont HS,61484
20311-Arthur A. Benjamin Health Profes,61485
20311-Sam Brannan MS,61486
20311-John F Kennedy HS,61487
20311-George W. Carver SAS,61488
20311-C K McClatchy HS,61489
20311-Hiram W Johnson HS,61490
20311-Luther Burbank HS,61491
20311-Capital City School,61492
20311-School of Engineering and Scienc,61493
20311-American Legion HS,61494
20311-New Tech High,62082
20311-Umoja International Academy,63070
Colorado Christian University2024-09-03 21:38:01.321,71499
MB Test School,71485
South Middle School,71458
Beagle Middle School,71349
Grand Ledge High School,71348
Waukee Middle School,71248
Prairieview School,71249
Timberline School,71250
Trailridge School,71253
Ritenour High School,70842
Ralston Middle School,59873
Nesbit School,59879
SEDRO-WOOLLEY HIGH SCHOOL,68757
Waukee Community School District-FD-20171,66645
Lakeville Online Academy High School,71073
Lakeville South High School,71070
Lakeville North High School,71069
Bothell High School,70647
International Academy,60962
NORTH KITSAP HIGH SCHOOL,60966
COLLEGE PLACE HIGH SCHOOL,70964
Marshall Academy of the Arts,62309
Washington Middle School,70970
Bancroft Middle School,70969
Tincher Middle School,62314
Baird Elementary School,70961
The Langley School,67343
Northwest School,70937
Mishawaka High School,60587
MOUNT SI HIGH SCHOOL,61173
Canvas Gilman School,70891
Loudoun County Public Schools2024-08-21 13:46:10.063,70747
Lindbergh STEM Academy,62311
Stephens Middle School,70873
Williamsville High School,66504
ConnectED,70424
Springfield Middle School,60892
Boyd J. Michael III Technical High School,60970
Latin School of Chicago IL,70849
E Russell Hicks Middle School,60887
Wash County Job Development Center,70848
Barbara Ingram School For The Arts,60883
Boonsboro High School,60882
Nipher Middle School,59898
North Middle School,59889
Kirkwood High School,59878
Knoxville High School,68282
Hedgesville High School,60485
Tyee Middle School,59863
St. Joseph Public Schools,70543
Rowland High School,63288
West Covina High School,60959
Red River High School,61275
Grand Forks Central,61274
Fremont Middle School,63254
Demoville Elementary (Auto-generated),55209
Default District Office (Auto-generated),55208
Rockaway Beach Middle School,55207
Pineapple Elementary School,55206
City High School,55205
Central Crossing High School,68790
Redondo Union High School,60564
University of Pittsburgh,70356
St. Agnes Academy,70355
University of Pittsburgh2024-08-13 13:35:48.875,70353
Virginia Military Institute,70331
Tufts University,70303
University of Arkansas,70286
Episcopal Day School,70266
Nogales High School,63287
Yale University,69730
University of Georgia,69727
Netwon Public Schools,69726
La Junta Jr-Sr High School,67746
Northeastern University,69645
MILTON ELEMENTARY SCHOOL,68771
Oak Grove School,69617
Sales KWL School,69426
Musselman High School,60487
Martinsburg North Middle School,60492
Spring Mills Middle School,60495
Berkeley County Virtual Students,61785
Mountain Ridge Middle School,60496
Sierra Home School,69416
Oak Hills High School,69256
Sultana High School,69255
Mayfair High School,69252
Bellflower High School,69251
Mariposa County High School,61431
MEDFORD AREA SENIOR HIGH,69167
Schoology Demo Sandbox2024-08-01 17:51:34.271,69137
Douglas High School,69085
KWL High School,69115
KWL Middle School,69116
KWL Middle School2024-08-01 11:42:12.427,69114
School Demo2024-08-01 11:42:04.576,69113
Klett World Languages Academy Canada,69090
Riverside Middle School,66027
East Providence High School,66025
Edward R. Martin Middle School,66024
Jefferson County Public Schools2024-07-31 17:08:24.951,55976
Louisville Collegiate School,69066
LTI 1.3 Brightspace D2L Sandbox,68806
Westland High School,68787
Grove City High School,68785
Franklin Heights High School,68784
Carleton College,68764
Seton Hill University,68517
Seton Hill University2024-07-23 20:04:30.73,68760
Alhambra High School,59942
University of Rhode Island,68728
Cranston East High School,68727
North Kingstown High School,68726
University of Pittsburgh,68725
University of Massachusetts Amherst,68724
Boston University,68723
Kalamazoo College,68722
Liberty High School2024-07-22 21:06:08.075,67347
Forsyth School Placholder,68588
The University of Texas at El Paso,68520
University of Alabama,68519
Ridgefield Park Junior-Senior High School,68516
Impuls Deutsch University,68461
Valparaiso University,68285
Michigan Technological University,68283
Battlefield HS2024-07-11 15:51:09.665,68136
Beville MS,68179
Louise A. Benton Middle School2024-07-11 15:26:49.352,68155
Benton MS,68178
Graham Park Middle School,68170
Graham Park Middle School2024-07-11 15:17:49.257,68174
George M. Hampton Middle School,68167
George M. Hampton Middle School2024-07-11 15:17:02.789,68175
Gar-Field HS2024-07-11 15:16:57.748,68173
Gar-Field Senior High School,68172
GAINESVILLE MIDDLE SCHOOL,68171
Gainesville High School,68169
Freedom High School,68168
Fred M. Lynn Middle School,68166
Hylton HS,68165
Forest Park High School,68164
Lake Ridge MS,68162
Woodbridge MS,68161
Colgan High School,68160
Bull Run Middle School,68159
Brentsville District High School,68158
Stuart M. Beville Middle School,68157
Woodbridge HS,68156
Unity Reed HS,68154
Unity Braxton MS,68153
Saunders MS,68152
Rippon MS,68151
Reagan MS,68150
Potomac Shores MS,68149
Potomac MS,68148
Potomac HS,68147
Potomac HS2024-07-11 14:31:17.086,68146
Porter Traditional,68145
Pennington Traditional,68144
Patriot HS,68142
Parkside MS,68141
Osbourn Park,68140
Nokesville School,68138
Marsteller MS,68137
St. Laurence High School IL,67954
The University of Chicago,67953
University of Georgia,67952
McHenry County College,67951
University of Denver,67950
University of Minnesota Twin Cities,67939
University of Tulsa,67938
KWL Safari Montage Sandbox,67925
Prince William School Safari Montage,67787
The University of Texas at Austin,67921
Loyola University Chicago,67920
Prince William County WAN,67902
Battlefield High School,67898
ClassLink HS,54848
ClassLink MS,54849
ClassLink ES,54850
"Klett World Languages, Inc.",54851
"Klett World Languages, Inc.-2",54852
(QATeam),54853
(QATeam)-2,54854
Collins Hill High School,62130
Dacula Middle School,62131
Mountain View High School,62132
Lanier Middle School,62133
Seckinger High School,62134
McConnell Middle School,62135
Meadowcreek High School,62136
Mill Creek High School,62137
Pinckneyville Middle School,62138
Shiloh High School,62139
ISC,62176
Canvas - Kern High School District,67560
Google Classroom Test School,54800
Murrieta Valley Unified School District,67456
Lewiston-Porter Central School District,67269
Lake Forest Academy IL,67136
L. J. Hauser Junior High School,67114
Waukee Community School District - school integration2024-06-03 18:38:03.978,66643
Waukee Community School District2024-06-03 18:36:51.034,66641
Schoology Demo School,66557
Green Bay Canvas Test,66554
Great Neck North Middle School,66380
May 6th Training,66249
Sacred Heart Schools Atherton,66204
Purdue University,66117
AUBURN RIVERSIDE HIGH SCHOOL,65520
AUBURN MOUNTAINVIEW H. S.,65519
AUBURN HIGH SCHOOL,65518
Irvington High School,62011
Adams Middle School,60568
Parras Middle School,60569
KWL HigherEd School,65821
B2C School,65816
Chadwick School Demo Admin,65453
American High School,62013
Da Vinci Charter Academy,65336
Davis Senior High School,65335
Holmes Junior High School,65334
Emerson Junior High School,65333
Harper Junior High School,65332
Bernardo Yorba Middle School,61685
NYC DOE Testing Environment,65246
CW Test Moodle School LTI Global2024-03-07 21:31:42.63,65191
Marist High School,64131
School District of Onalaska,64006
Soledad High School,63928
Clayton Schools MO,63738
