districtId,districtName,schoolId,schoolName,studentcount,teachercount
68587,Forsyth County Schools,68834,Forsyth Virtual Academy,55,1
68587,Forsyth County Schools,77803,Forsyth Virtual Summer School,,
68587,Forsyth County Schools,76420,Gateway Academy,1,
68587,Forsyth County Schools,78261,High Summer School,,
68587,Forsyth County Schools,68833,Lakeside Middle School,3,
68587,Forsyth County Schools,69051,Piney Grove Middle School,1,
68587,Forsyth County Schools,68837,South Forsyth High School,151,2
68587,Forsyth County Schools,68836,South Forsyth Middle School,,
68589,Loudoun County Public Schools (VA),70804,Academies of Loudoun,42,
68589,Loudoun County Public Schools (VA),70806,Belmont Ridge MS,58,1
68589,Loudoun County Public Schools (VA),70808,Blue Ridge MS,50,1
68589,Loudoun County Public Schools (VA),70805,Brambleton MS,56,1
68589,Loudoun County Public Schools (VA),70809,Briar Woods HS,84,1
68589,Loudoun County Public Schools (VA),70807,Broad Run HS,47,1
68589,Loudoun County Public Schools (VA),70810,Dominion HS,18,1
68589,Loudoun County Public Schools (VA),70811,Eagle Ridge MS,48,2
68589,Loudoun County Public Schools (VA),70813,Farmwell Station MS,54,2
68589,Loudoun County Public Schools (VA),70812,Freedom HS,114,3
68589,Loudoun County Public Schools (VA),70815,Harmony MS,58,1
68589,Loudoun County Public Schools (VA),70814,Harper Park MS,38,1
68589,Loudoun County Public Schools (VA),70816,Heritage HS,63,1
68589,Loudoun County Public Schools (VA),70817,Independence HS,59,1
68589,Loudoun County Public Schools (VA),70819,J. Lupton Simpson MS,10,1
68589,Loudoun County Public Schools (VA),70820,J. Michael Lunsford MS,64,1
68589,Loudoun County Public Schools (VA),70818,John Champe HS,76,1
68589,Loudoun County Public Schools (VA),70823,Lightridge HS,63,1
68589,Loudoun County Public Schools (VA),70822,Loudoun County HS,28,1
68589,Loudoun County Public Schools (VA),70824,Loudoun Valley HS,87,2
68589,Loudoun County Public Schools (VA),70825,Mercer MS,31,1
68589,Loudoun County Public Schools (VA),70826,Potomac Falls HS,40,1
68589,Loudoun County Public Schools (VA),70827,River Bend MS,33,1
68589,Loudoun County Public Schools (VA),70829,Riverside HS,75,1
68589,Loudoun County Public Schools (VA),70828,Rock Ridge HS,34,2
68589,Loudoun County Public Schools (VA),70833,Seneca Ridge MS,44,1
68589,Loudoun County Public Schools (VA),70832,Smart's Mill MS,30,1
68589,Loudoun County Public Schools (VA),70834,Sterling MS,17,1
68589,Loudoun County Public Schools (VA),70830,Stone Bridge HS,78,1
68589,Loudoun County Public Schools (VA),70831,Stone Hill MS,56,1
68589,Loudoun County Public Schools (VA),70836,Trailside MS,63,1
68589,Loudoun County Public Schools (VA),70835,Tuscarora HS,47,1
68589,Loudoun County Public Schools (VA),70878,Virtual Distance Learning,,
68589,Loudoun County Public Schools (VA),70877,Virtual Loudoun HS,197,1
68589,Loudoun County Public Schools (VA),70838,Willard MS,89,1
68589,Loudoun County Public Schools (VA),70837,Woodgrove HS,75,2
68712,Lafayette Parish School District,68713,ACADIANA HIGH SCHOOL,380,5
68712,Lafayette Parish School District,68714,BROADMOOR ELEMENTARY SCHOOL,,1
68712,Lafayette Parish School District,69107,BROUSSARD MIDDLE SCHOOL,45,1
68712,Lafayette Parish School District,68715,CARENCRO HIGH SCHOOL,207,3
68712,Lafayette Parish School District,68874,DAVID THIBODAUX STEM MAGNET ACADEMY,223,3
68712,Lafayette Parish School District,68720,EARLY COLLEGE ACADEMY,56,1
68712,Lafayette Parish School District,68718,EDGAR MARTIN MIDDLE SCHOOL,113,2
68712,Lafayette Parish School District,68716,JUDICE MIDDLE SCHOOL,51,1
68712,Lafayette Parish School District,69172,L.J. ALLEMAN MIDDLE SCHOOL,151,1
68712,Lafayette Parish School District,68717,LAFAYETTE HIGH SCHOOL,431,6
68712,Lafayette Parish School District,68771,MILTON ELEMENTARY SCHOOL,28,1
68712,Lafayette Parish School District,68902,NORTHSIDE HIGH SCHOOL,162,2
68712,Lafayette Parish School District,68824,O. COMEAUX HIGH SCHOOL,226,2
68712,Lafayette Parish School District,68721,SOUTHSIDE HIGH SCHOOL,582,4
