districtId,districtName,schoolId,schoolName
"70550","Department of Defense Education Activity (DoDEA)","70773","Europe - South - Sigonella Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71622","Europe - South - Vicenza Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70768","Europe - South - Vicenza High School"
"70550","Department of Defense Education Activity (DoDEA)","70769","Europe - South - Vicenza Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71575","Europe - West - AFNorth Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70763","Europe - West - AFNorth Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71579","Europe - West - Alconbury Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71577","Europe - West - Alconbury Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","70764","Europe - West - Brussels Unit School"
"70550","Department of Defense Education Activity (DoDEA)","71580","Europe - West - Feltwell Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71581","Europe - West - Kleine Brogel Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71582","Europe - West - Lakenheath Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70767","Europe - West - Lakenheath High School"
"70550","Department of Defense Education Activity (DoDEA)","71578","Europe - West - Lakenheath Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71583","Europe - West - Liberty Intermediate School"
"70550","Department of Defense Education Activity (DoDEA)","71576","Europe - West - SHAPE Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70765","Europe - West - SHAPE High School"
"70550","Department of Defense Education Activity (DoDEA)","70766","Europe - West - SHAPE Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71592","Europe - West - Spangdahlem Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71591","Europe - West - Spangdahlem High School"
"70550","Department of Defense Education Activity (DoDEA)","71590","Europe - West - Spangdahlem Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71634","Pacific - East - Ernest J. King Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71642","Pacific - East - Ikego Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71645","Pacific - East - Iwakuni Intermediate School"
"70550","Department of Defense Education Activity (DoDEA)","71644","Pacific - East - Iwakuni Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71640","Pacific - East - Jack N Darby Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71651","Pacific - East - Joan K. Mendel Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71633","Pacific - East - John O Arnn Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71636","Pacific - East - Matthew C Perry High School"
"70550","Department of Defense Education Activity (DoDEA)","71639","Pacific - East - Matthew C Perry Primary School"
"70550","Department of Defense Education Activity (DoDEA)","71635","Pacific - East - Nile C Kinnick High School"
"70550","Department of Defense Education Activity (DoDEA)","71647","Pacific - East - Robert D Edgren Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71637","Pacific - East - Sasebo Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71638","Pacific - East - Shirley Lanham Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71650","Pacific - East - Sollars Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71641","Pacific - East - Sullivans Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71643","Pacific - East - Yokosuka Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71646","Pacific - East - Yokosuka Primary School"
"70550","Department of Defense Education Activity (DoDEA)","71648","Pacific - East - Yokota High School"
"70550","Department of Defense Education Activity (DoDEA)","71654","Pacific - East - Yokota Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71652","Pacific - East - Yokota West Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71630","Pacific - East - Zama Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71663","Pacific - South - Amelia Earhart Intermediate School"
"70550","Department of Defense Education Activity (DoDEA)","71669","Pacific - South - Bechtel Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71670","Pacific - South - Bob Hope Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71666","Pacific - South - Kadena Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71661","Pacific - South - Kadena High School"
"70550","Department of Defense Education Activity (DoDEA)","71662","Pacific - South - Kadena Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71667","Pacific - South - Killin Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71659","Pacific - South - Kinser Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71658","Pacific - South - Kubasaki High School"
"70550","Department of Defense Education Activity (DoDEA)","71664","Pacific - South - Lester Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71668","Pacific - South - Ralph F. Stearley Primary School"
"70550","Department of Defense Education Activity (DoDEA)","71665","Pacific - South - Ryukyu Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71660","Pacific - South - Zukeran Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71717","Pacific - West - Andersen Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71720","Pacific - West - Andersen Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71631","Pacific - West - Daegu Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71632","Pacific - West - Daegu Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71719","Pacific - West - Guam High School"
"70550","Department of Defense Education Activity (DoDEA)","71655","Pacific - West - Humphreys Central Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70775","Pacific - West - Humphreys High School"
"70550","Department of Defense Education Activity (DoDEA)","71656","Pacific - West - Humphreys Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71657","Pacific - West - Humphreys West Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71718","Pacific - West - McCool Elementary/Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71653","Pacific - West - Osan Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71649","Pacific - West - Osan Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","70778","Strategic Literacy School"
"70659","St. Charles Community Unit School District 303 (IL) -- ClassLink -- updated","70663","St Charles East High School"
"70659","St. Charles Community Unit School District 303 (IL) -- ClassLink -- updated","70664","St Charles North High School"
"70659","St. Charles Community Unit School District 303 (IL) -- ClassLink -- updated","70665","Thompson Campus"
"70659","St. Charles Community Unit School District 303 (IL) -- ClassLink -- updated","70666","Wredling Middle School"
"56209","Dummy District","",""
"70480","Lyons Township High School District 204","70497","Lyons Township High School D204"
"68384","Sacramento City Unified School District - ClassLink","69612","C K McClatchy HS"
"69331","Thompson School District - ClassLink","69351","Bill Reed Middle School"
"69331","Thompson School District - ClassLink","69349","Lucile Erwin Middle School"
"69246","Elmwood-Murdock Public Schools (NE)","69336","Elmwood-Murdock High School"
"68587","Forsyth County Schools","68835","Alliance Academy"
"68587","Forsyth County Schools","68834","Forsyth Virtual Academy"
"68587","Forsyth County Schools","68833","Lakeside Middle School"
"68587","Forsyth County Schools","79498","Little Mill Middle School"
"68587","Forsyth County Schools","79911","North Forsyth Middle School"
"68587","Forsyth County Schools","68837","South Forsyth High School"
"68587","Forsyth County Schools","68836","South Forsyth Middle School"
"68095","Effingham County Schools","68912","College & Career + STEM Academy"
"68095","Effingham County Schools","68114","Ebenezer MS"
"68095","Effingham County Schools","68122","Effingham County HS"
"68095","Effingham County Schools","68111","Effingham County MS"
"68095","Effingham County Schools","68120","South Effingham HS"
"68095","Effingham County Schools","68123","South Effingham MS"
"66052","River Trails School District 26","69216","Euclid Elementary"
"66052","River Trails School District 26","69214","Indian Grove"
"66052","River Trails School District 26","69212","Prairie Trails"
"66052","River Trails School District 26","69174","River Trails Middle School"
"66052","River Trails School District 26","69218","Summer School"
"67340","Victor Valley Union High School District","67352","Cobalt Institute of Math and Science"
"67314","Elkhorn Public Schools","68272","Elkhorn High School"
"67314","Elkhorn Public Schools","68273","Elkhorn North High School"
"67314","Elkhorn Public Schools","68271","Elkhorn South High School"
"66614","Palo Alto Unified School District - ClassLink","67195","Ellen Fletcher Middle"
"66614","Palo Alto Unified School District - ClassLink","67193","Frank S. Greene Jr. Middle"
"66614","Palo Alto Unified School District - ClassLink","67196","Henry M. Gunn High"
"66614","Palo Alto Unified School District - ClassLink","67192","Jane Lathrop Stanford Middle"
"66614","Palo Alto Unified School District - ClassLink","81012","Ohlone Elementary"
"66614","Palo Alto Unified School District - ClassLink","67194","Palo Alto High"
"66614","Palo Alto Unified School District - ClassLink","80932","Palo Alto Middle College High"
"66614","Palo Alto Unified School District - ClassLink","69225","Palo Alto Unified"
"62729","San Ramón Valley USD","62768","California High School"
"62729","San Ramón Valley USD","62761","Dougherty Valley High School"
"62729","San Ramón Valley USD","62762","Monte Vista High School"
"62729","San Ramón Valley USD","62763","San Ramon Valley High School"
"61347","North Colonie Central Schools","61349","Shaker High School"
"61347","North Colonie Central Schools","61348","Shaker Middle School"
"62360","Mountain View Los Altos Union High School District","62538","Foothill Middle College Program"
"62360","Mountain View Los Altos Union High School District","62537","Los Altos High School"
"62360","Mountain View Los Altos Union High School District","62445","Mountain View High School"
"61388","Georgetown Day School","61461","Middle School"
